HINCP,RNTP,MRGP,NP,HHT_label,TEN_label,BLDG_AGE_dec
115000,3000,0,3,"Other family household: Female householder, no spouse present",Rented,2
115000,3000,0,3,"Other family household: Female householder, no spouse present",Rented,2
115000,3000,0,3,"Other family household: Female householder, no spouse present",Rented,2
28000,0,800,1,Nonfamily household: Male householder: Living alone,Owned with mortgage or loan (include home equity loans),4
26200,3000,0,3,Nonfamily household: Male householder: Not living alone,Rented,6
26200,3000,0,3,Nonfamily household: Male householder: Not living alone,Rented,6
26200,3000,0,3,Nonfamily household: Male householder: Not living alone,Rented,6
70000,0,1200,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
70000,0,1200,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
70000,0,1200,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
60000,2000,0,1,Nonfamily household: Female householder: Living alone,Rented,5
25000,890,0,3,Married couple household,Rented,5
25000,890,0,3,Married couple household,Rented,5
25000,890,0,3,Married couple household,Rented,5
28000,1000,0,3,Married couple household,Rented,0
28000,1000,0,3,Married couple household,Rented,0
28000,1000,0,3,Married couple household,Rented,0
25100,1300,0,3,"Other family household: Female householder, no spouse present",Rented,7
25100,1300,0,3,"Other family household: Female householder, no spouse present",Rented,7
25100,1300,0,3,"Other family household: Female householder, no spouse present",Rented,7
936000,0,5100,4,Married couple household,Owned with mortgage or loan (include home equity loans),0
936000,0,5100,4,Married couple household,Owned with mortgage or loan (include home equity loans),0
936000,0,5100,4,Married couple household,Owned with mortgage or loan (include home equity loans),0
936000,0,5100,4,Married couple household,Owned with mortgage or loan (include home equity loans),0
130000,0,1300,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
130000,0,1300,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
130000,0,1300,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
557000,0,3000,4,Married couple household,Owned with mortgage or loan (include home equity loans),7
557000,0,3000,4,Married couple household,Owned with mortgage or loan (include home equity loans),7
557000,0,3000,4,Married couple household,Owned with mortgage or loan (include home equity loans),7
557000,0,3000,4,Married couple household,Owned with mortgage or loan (include home equity loans),7
65000,1900,0,1,Nonfamily household: Female householder: Living alone,Rented,1
29500,900,0,1,Nonfamily household: Female householder: Living alone,Rented,3
85000,1300,0,2,Married couple household,Rented,1
85000,1300,0,2,Married couple household,Rented,1
193000,1700,0,4,"Other family household: Male householder, no spouse present",Rented,3
193000,1700,0,4,"Other family household: Male householder, no spouse present",Rented,3
193000,1700,0,4,"Other family household: Male householder, no spouse present",Rented,3
193000,1700,0,4,"Other family household: Male householder, no spouse present",Rented,3
69500,750,0,2,Nonfamily household: Male householder: Not living alone,Rented,0
69500,750,0,2,Nonfamily household: Male householder: Not living alone,Rented,0
114000,0,1500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),4
114000,0,1500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),4
114000,0,1500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),4
114000,0,1500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),4
139400,0,2200,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
139400,0,2200,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
139400,0,2200,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
60000,0,260,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
60000,0,260,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
60000,0,260,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
112000,2000,0,2,Married couple household,Rented,1
112000,2000,0,2,Married couple household,Rented,1
56000,0,1400,1,Nonfamily household: Female householder: Living alone,Owned with mortgage or loan (include home equity loans),3
611000,0,2900,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
